"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group DSE 4 or below","estimate.mean in group DSE 5 or above","null.value.difference in means","alternative","method","data.name"
"Q1..Before.","-1.42961872336609","78.3359266115684","0.15680261164135","-0.520071746078217","0.085316025608211","3.97959183673469","4.1969696969697","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..After.","0.482514209741302","106.535296474033","0.630430658143893","-0.21147282485219","0.347527246620897","4.73469387755102","4.66666666666667","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..Change.","1.71122775266548","96.7163034765922","0.0902444855218581","-0.0456268710481506","0.616437013286864","0.755102040816326","0.46969696969697","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Before.","-0.608705791612887","81.8221509093562","0.544405722002231","-0.358984331584634","0.190771591943322","4.6734693877551","4.75757575757576","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..After.","0.874241855541549","103.076073435028","0.384018934494625","-0.149446871290685","0.385068392626491","5.16326530612245","5.04545454545455","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Change.","1.44511668905724","108.27755326049","0.151313026565713","-0.0750315495641907","0.478865810541309","0.489795918367347","0.287878787878788","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Before.","-3.30990397287373","108.657477079341","0.00126688727158694","-0.754916067961128","-0.189425304951673","3.75510204081633","4.22727272727273","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..After.","-0.692588184618855","92.6131675222246","0.490301037769094","-0.431701589575127","0.208448652036476","4.44897959183673","4.56060606060606","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Change.","1.79743851745977","107.861854957805","0.0750640803560397","-0.0370613473326796","0.758149782706829","0.693877551020408","0.333333333333333","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Before.","-2.07404397720692","107.29967093704","0.0404686893677258","-0.687605610842932","-0.0155483780253437","3.69387755102041","4.04545454545455","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..After.","-1.71279187837477","106.894597699982","0.0896500152053813","-0.517672122535216","0.0377710712055946","4.24489795918367","4.48484848484848","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Change.","0.650065394667276","110.947009276051","0.516993762818388","-0.228641549979419","0.451894487518071","0.551020408163265","0.439393939393939","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Before.","-4.34891502165027","110.556073662629","3.05830186800487e-05","-1.1545406025792","-0.43173026940596","2.97959183673469","3.77272727272727","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..After.","-4.54018659300651","103.249338499523","1.52606989438597e-05","-1.25554429128072","-0.492136599257317","3.48979591836735","4.36363636363636","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Change.","-0.427494850911152","93.9853537083756","0.669996804562193","-0.455544643025712","0.294134624472836","0.510204081632653","0.590909090909091","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..Before.","-1.42020239822826","100.319078055121","0.158649175521154","-0.735415420428239","0.121779056791875","3.54166666666667","3.84848484848485","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..After.","-2.07416564239618","101.55016704886","0.0405934934016779","-0.852557405875578","-0.0190281514242653","3.97959183673469","4.41538461538462","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q6..Change.","-0.425374487372729","107.290045069768","0.671415695153371","-0.478938388781647","0.309707619550877","0.5","0.584615384615385","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..Before.","-1.27800302590383","99.8642748569708","0.20421099955597","-0.80503217417677","0.174234400521853","3.77551020408163","4.09090909090909","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..After.","-0.202988384307271","93.5545981952912","0.839584939043184","-0.500096034119178","0.407331655640514","4.40816326530612","4.45454545454545","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q7..Change.","1.70439017144996","110.338935654043","0.0911226248225986","-0.0437695115300144","0.581802906706267","0.63265306122449","0.363636363636364","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..Before.","-1.79090509375893","96.7614028369835","0.0764353893665528","-0.798582596085697","0.0410068385099391","4","4.37878787878788","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..After.","-0.0918842224457323","104.55944597263","0.926965838483387","-0.411952021105733","0.375464698904126","4.69387755102041","4.71212121212121","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q8..Change.","2.06266272072607","109.983501370936","0.0415001414961734","0.0141399325548194","0.70694850281933","0.693877551020408","0.333333333333333","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q9..Before.","-1.52658201845004","88.5483698522205","0.130429140140596","-0.721676429202588","0.0945892306868178","2.95918367346939","3.27272727272727","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
