"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group 0","estimate.mean in group 1","null.value.difference in means","alternative","method","data.name"
"Q1..Before.","-0.955286132276843","32.9123898234353","0.346397412124433","-0.550011051188287","0.198561775825968","4.04166666666667","4.21739130434783","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..After.","-0.339720155187321","40.8328462174661","0.735808565391165","-0.35859703987972","0.255336170314503","4.6875","4.73913043478261","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..Change.","0.656771619262926","37.179068871481","0.515372815030244","-0.258684010517309","0.506872416314411","0.645833333333333","0.521739130434783","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Before.","-1.00698933097963","37.3637789388438","0.320417060596521","-0.454175196150643","0.152544761368034","4.71875","4.8695652173913","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..After.","-0.710768024958764","41.5118702246152","0.481202584999483","-0.387855044000095","0.185862290376907","5.07291666666667","5.17391304347826","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Change.","0.386243375502864","58.5467403596445","0.700716559977155","-0.208317418743982","0.307955099903403","0.354166666666667","0.304347826086957","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Before.","0.0105422096207255","39.6997314571933","0.991641489728008","-0.345575853641854","0.349199042047652","3.95833333333333","3.95652173913043","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..After.","-0.916007584628075","36.9991460137627","0.365594960571283","-0.549877680806493","0.207486376458667","4.4375","4.60869565217391","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Change.","-0.638961548166719","30.8131858052587","0.527569551518015","-0.725368077791614","0.379353585037991","0.479166666666667","0.652173913043478","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Before.","0.424555730999626","39.2920665243641","0.673476353208841","-0.308480480344679","0.472429755706998","3.86458333333333","3.78260869565217","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..After.","0.358025795842258","37.3265897275588","0.722340809928291","-0.28055752157749","0.401028536070244","4.36458333333333","4.30434782608696","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Change.","-0.103579816398613","34.2106747160216","0.918107644753315","-0.448165928686573","0.404687667817008","0.5","0.521739130434783","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Before.","-0.739568673524437","34.6143049100272","0.464548207756713","-0.673548414425321","0.313946965149959","3.38541666666667","3.56521739130435","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..After.","-0.303329223416016","37.911509008005","0.763297366051955","-0.559593777584305","0.413760444250972","3.92708333333333","4","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q5..Change.","0.465855098679539","32.8906305041932","0.644389607176943","-0.359966524651114","0.573734640593143","0.541666666666667","0.434782608695652","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
