"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group F","estimate.mean in group M","null.value.difference in means","alternative","method","data.name"
"Q1..Before.","-2.77255561572352","99.0943154589292","0.00664517918865992","-0.666987163891568","-0.110543425652369","3.88709677419355","4.27586206896552","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..After.","-1.67262621867315","112.640207108701","0.0971762800363277","-0.501782092225526","0.0423827596337577","4.58064516129032","4.81034482758621","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q1..Change.","0.982368224882926","111.378088040962","0.328047616188234","-0.161778799763892","0.479910056716061","0.693548387096774","0.53448275862069","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Before.","-1.02826855909613","112.287657071511","0.30603343106619","-0.389052546985688","0.123201601490693","4.67741935483871","4.81034482758621","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..After.","-0.0420561124585529","112.080720577561","0.966528795575299","-0.267587352437948","0.256463881915145","5.08064516129032","5.08620689655172","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q2..Change.","0.909262667794875","110.816629546135","0.365184824877156","-0.150206605128402","0.404934080100593","0.403225806451613","0.275862068965517","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Before.","-0.633335376571342","112.368673777071","0.527801584606303","-0.404110843335411","0.208337762134076","3.91935483870968","4.01724137931035","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..After.","-1.89607481552898","116.777133479559","0.0604213656711388","-0.609489679900524","0.0132716598782763","4.32258064516129","4.62068965517241","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q3..Change.","-1.00437168728087","111.05792023277","0.31738282766796","-0.595247453002487","0.194802514181575","0.403225806451613","0.603448275862069","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
"Q4..Before.","-0.817599935932182","114.604656348745","0.41528221128103","-0.481628538393985","0.200204734167066","3.79032258064516","3.93103448275862","0","two.sided","Welch Two Sample t-test","x by comb[, i]"
