"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group 0","estimate.mean in group 1","null.value.difference in means","alternative","method","data.name"
"Q1 (Before)","0.356099003164187","90.6080550611194","0.722594226299642","-0.244203655281625","0.350878094220709","4.0958904109589","4.04255319148936","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q1 (After)","-0.11720925497712","86.5267782288162","0.90696587151779","-0.308827145919843","0.274434840469537","4.68493150684932","4.70212765957447","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q1 (Change)","-0.429614524271885","100.561487729971","0.668395192692819","-0.396236127378716","0.255169382989325","0.589041095890411","0.659574468085106","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q2 (Before)","-0.0339655410608537","68.7227145024212","0.973003089790352","-0.295994330514349","0.286084683181211","4.73972602739726","4.74468085106383","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q2 (After)","-1.04215722119343","90.9051013670167","0.300102470739386","-0.415029181159413","0.129398169792464","5.02739726027397","5.17021276595745","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q2 (Change)","-0.915300197844172","80.36502773822","0.362772323712727","-0.437579148493061","0.161857784459252","0.287671232876712","0.425531914893617","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q3 (Before)","0.781183190432108","105.560004648418","0.436443233715552","-0.184693159432215","0.424856377152995","4.01369863013699","3.8936170212766","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q3 (After)","-0.235062225663325","107.002462638249","0.814609692519748","-0.351932422444832","0.277318607230608","4.45205479452055","4.48936170212766","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q3 (Change)","-0.762079051007453","92.9107509961761","0.447943097545823","-0.567511794111846","0.252734761176842","0.438356164383562","0.595744680851064","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q4 (Before)","1.27294044976022","99.473206799401","0.206006202221655","-0.123914752373049","0.567517200638861","3.94520547945205","3.72340425531915","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q4 (After)","-0.610510141060593","100.68223758756","0.542899609539685","-0.37899272669846","0.200619074701958","4.31506849315068","4.40425531914894","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q4 (Change)","-1.72371447183283","81.9179976915669","0.0885317266764537","-0.669901072752168","0.0479249724898541","0.36986301369863","0.680851063829787","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q5 (Before)","0.352581736184233","107.335829784856","0.72509342358251","-0.319288785110093","0.457440927342679","3.45205479452055","3.38297872340426","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q5 (After)","0.106869680297296","99.3561208677853","0.915107860481724","-0.399340757700306","0.444808551346473","3.95890410958904","3.93617021276596","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q5 (Change)","-0.246524987988506","87.8376578530007","0.805851079589517","-0.419925827715457","0.327241479129039","0.506849315068493","0.553191489361702","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
