Student Tag,Enrollment Term,Subject,Entry Teacher Tag,Exit Teacher Tag,Q1 (Before),Q1 (After),Q1 (Change),Q2 (Before),Q2 (After),Q2 (Change),Q3 (Before),Q3 (After),Q3 (Change),Q4 (Before),Q4 (After),Q4 (Change),Q5 (Before),Q5 (After),Q5 (Change),Q6 (Before),Q6 (After),Q6( Change),Q7 (Before),Q7 (After),Q7 (Change),Q8 (Before),Q8 (After),Q8 (Change),Q9 (Before),Q9 (After),Q9 (Change),Q10 (Before),Q10 (After),Q10 (Change),Q11 (Before),Q11 (After),Q11 (Change),Q12 (Before),Q12 (After),Q12 (Change),Q13 (Before),Q13 (After),Q13 (Change),Q14 (Before),Q14 (After),Q14 (Change),Q15 (Before),Q15 (After),Q15 (Change),Q16 (Before),Q16 (After),Q16 (Change),Q17 (Before),Q17 (After),Q17 (Change),Q18 (Assigned Text Read Completely),Q19 (Chinese Translation),Q20 (Time/RJ),Q21 (Time/reading),Q22 (% Lecture),Q23 (% tutorial participation),Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Sex,"Phy (1: normal, 2:mainland)","Chem(1: normal, 2:mainland)","Bio(1: normal, 2:mainland)",Com Sci,Inter Sci,Eng Lit,Chin Lit,"History(1: normal, 2:mainland)",Chin History,Ethics & RS,Music,Visual Art,Econ,"Geog(1: normal, 2:mainland)",Politics_Mainland,Language,English Proficiency,Year of Study,Faculty,Term GPA,Grade,cGPA (After),cGPA (Before),First GEF?,"ScienceSubject (Phy,Chem,Bio,InterSci,CombSci)","HumanitiesSub (ChinHist, Hist, ChinLit, EngLit, RS, Politics)",Micro-modules,Micro-modules_No_a,Micro-modules_No_b,Micro-modules_No_c,Micro-modules_No_d,Micro-modules_No_e,Micro-modules_No_f,Micro-modules_No_g
1,1617T1,UNFN,12,12,4,4,0,5,4,-1,4,5,1,3,4,1,3,4,1,4,4,0,4,4,0,5,4,-1,4,4,0,4,5,1,4,4,0,4,4,0,4,5,1,6,4,-2,5,5,0,5,4,-1,6,5,-1,10 to 11,0 to 1,3 to <6,3 to <4,61-80%,61-80%,4,4,4,3,4,4,4,4,3,4,4,4,M,1,1,1,1,1,BLANK,1,1,1,BLANK,1,1,BLANK,1,,Putonghua,Others,2,ENF,3.05,B-,3.05,0.00,Yes,5,3,0,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK
3,1617T1,UNFN,7,7,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,5,6,1,5,6,1,6,6,0,10 to 11,0 to 1,10 to <15,2 to <3,81-100%,81-100%,5,4,5,5,5,5,5,5,5,5,5,5,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,Others,1,SCF,3.94,A-,3.94,0.00,Yes,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
5,1617T1,UNFN,1,1,3,3,0,5,3,-2,3,2,-1,3,2,-1,3,1,-2,3,1,-2,3,2,-1,3,2,-1,2,2,0,3,2,-1,2,2,0,3,3,0,2,3,1,5,5,0,3,3,0,5,5,0,4,3,-1,0 to 1,0 to 1,3 to <6,4 to <5,21-40%,81-100%,1,4,3,3,3,3,1,2,3,3,2,1,F,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,1,SSF,2.91,B-,2.91,0.00,Yes,1,0,0,1,BLANK,BLANK,1,1,BLANK,1
6,1617T1,UNFN,12,12,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,4,4,0,5,4,-1,5,6,1,5,6,1,5,6,1,5,6,1,5,5,0,5,6,1,5,6,1,5,6,1,5,5,0,8 to 9,0 to 1,3 to <6,less than 1,1-20%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,M,BLANK,BLANK,1,BLANK,BLANK,1,1,1,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,Others,2,SLAW,3.68,A,3.67,3.73,No,1,3,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
7,1617T1,UNFN,12,12,4,5,1,5,6,1,4,6,2,4,6,2,3,5,2,2,4,2,2,2,0,3,3,0,2,5,3,2,5,3,2,5,3,2,5,3,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,6 to 7,0 to 1,6 to <10,1 to <2,1-20%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,BLANK,BLANK,BLANK,1,1,,Putonghua,Others,2,SSF,2.95,B,3.05,3.10,No,0,2,0,BLANK,BLANK,BLANK,BLANK,1,1,BLANK
8,1617T1,UNFN,14,14,5,4,-1,6,6,0,4,4,0,3,3,0,5,4,-1,6,6,0,6,6,0,6,6,0,5,4,-1,5,4,-1,6,4,-2,3,3,0,4,4,0,6,6,0,4,4,0,6,6,0,6,6,0,10 to 11,6 to 7,6 to <10,3 to <4,41-60%,81-100%,3,3,4,3,3,3,3,3,3,4,4,4,M,BLANK,BLANK,BLANK,,,,,BLANK,,,,,,BLANK,BLANK,Putonghau,Taiwan Exam <=14,2,ENF,3.65,B+,3.45,3.36,No,2,4,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
10,1617T1,UNFN,2,2,5,5,0,5,5,0,5,5,0,5,5,0,4,5,1,4,4,0,5,5,0,4,5,1,2,4,2,2,5,3,3,5,2,3,4,1,5,5,0,5,6,1,5,5,0,5,5,0,5,6,1,10 to 11,4 to 5,1 to <3,1 to <2,81-100%,81-100%,3,3,5,2,5,5,4,4,BLANK,2,2,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,1,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,EDU,3.16,B,3.07,3.03,No,0,2,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
11,1617T1,UNFN,2,2,5,6,1,5,6,1,4,6,2,4,5,1,3,4,1,4,5,1,5,6,1,5,6,1,4,6,2,5,6,1,4,6,2,4,6,2,4,6,2,5,6,1,4,6,2,5,6,1,5,6,1,10 to 11,10 to 11,6 to <10,2 to <3,81-100%,81-100%,4,4,5,4,5,3,5,5,5,5,5,3,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,1,BLANK,BLANK,BLANK,1,1,,Cantonese,Others,2,ART,1.65,F,1.58,1.57,Yes,0,3,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
12,1617T1,UNFN,12,12,4,5,1,4,5,1,4,5,1,4,5,1,3,5,2,3,5,2,2,5,3,4,5,1,3,5,2,3,5,2,3,5,2,3,5,2,3,5,2,5,5,0,4,5,1,4,5,1,4,5,1,10 to 11,0 to 1,1 to <3,1 to <2,0,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Putonghua,Others,2,SSF,3.17,B,3.18,3.19,No,0,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
13,1617T1,UNFN,7,7,6,5,-1,6,5,-1,6,5,-1,6,5,-1,5,5,0,5,5,0,4,5,1,4,5,1,3,5,2,2,5,3,3,5,2,3,5,2,4,5,1,6,5,-1,5,5,0,5,5,0,5,5,0,8 to 9,0 to 1,3 to <6,1 to <2,61-80%,81-100%,3,3,4,4,4,4,4,4,4,4,4,4,M,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,Others,2,SLAW,2.67,B-,2.81,2.87,No,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
